mvar2,mvar3,mvar4,mvar5,mvar6,mvar8,mvar9,mvar10,mvar11,mvar13,mvar14,mvar15,mvar36,mvar40,mvar41,mvar42
1,0.245230132847,4,18,0.20082815735,0.862535723803,0.00985694139438,1,0.869861448365,12,1,0,0.00693743547398,0,0,0
3,0.918327252962,4,35,0.067701863354,0.876990654377,0.0145758640932,0,0.482216826168,12,1,1,0.0022514829911,0,0,0
1,0.614612698764,4,274,0.260455486542,0.894386193841,0.0725002747979,1,0.586801885445,12,1,0,0.00134501854753,1,0,0
1,0.491485176791,6,1,0.0,0.705396936253,0.0853309969667,0,0.0,6,2,0,0.00413416622803,0,0,0
2,0.0568445635952,0,129,0.101449275362,0.94114187519,0.00210606262585,0,0.299157263248,15,1,0,9.70925095485e-05,0,0,0
1,0.31910664603,1,296,0.114285714286,0.955394638902,0.0186424341713,0,0.446693329524,7,1,0,9.60792614265e-05,0,0,0
4,0.122102610875,8,21,0.0507246376812,0.972808557172,0.214701335635,0,0.0808884445079,15,1,0,0.000158389594847,0,0,0
1,0.234147273967,4,63,0.23685300207,0.866937447735,0.291782111009,1,0.876346236252,17,1,0,0.0153594714952,0,0,0
1,0.602299946566,7,211,0.193788819876,0.910430891096,0.00150375829948,0,0.159262962434,8,1,0,0.000137323728102,0,0,0
3,0.122102610875,5,246,0.268737060041,0.667894983505,0.0876961004427,1,0.838623053849,15,1,0,0.00585291410167,0,0,0
1,0.105273340335,8,14,1.0,0.780253811305,0.0853309969667,1,0.743893729467,14,1,0,0.00729525045694,0,0,0
1,0.0728516020858,2,88,0.259420289855,0.89501107323,0.0173697107255,1,0.0702328238823,12,1,0,0.000109259043731,0,0,0
1,0.159040867466,1,98,0.0788819875776,0.915154244126,0.0853309969667,0,0.254392229681,15,1,0,0.000112508325131,0,0,0
1,0.306793893833,4,31,0.0788819875776,0.856323687524,0.0034725389219,0,0.28051706899,12,1,0,0.0003676313774,0,0,0
4,0.0728516020858,1,6,0.0213250517598,0.862250852317,0.0853309969667,0,0.526110555635,13,1,0,0.00156367470705,1,0,0
1,0.0630009396938,4,191,0.0788819875776,0.943990590052,0.018991047436,0,0.340065704899,14,1,0,0.00018683870033,0,0,0
1,0.208291876255,5,12,0.203105590062,0.913123386111,0.0853309969667,1,1.0,14,1,0,0.000410570168524,0,0,0
1,0.0359133454941,5,185,0.0743271221532,0.922294410086,0.00787330999305,0,0.357063276675,7,1,0,0.000630945373762,0,0,0
2,0.034681149006,3,101,0.0904761904762,0.895810551272,0.00254606080166,0,0.378831595486,16,1,1,0.0010100445047,0,0,0
1,0.35111841984,7,84,0.198550724638,0.914428281306,0.00134162755182,0,0.455720611341,15,1,0,0.00023458669565,0,0,0
1,0.0605388498885,4,56,0.193995859213,0.887181702061,0.0440059566825,0,0.418768747322,12,1,0,0.000649974704621,0,0,0
1,0.306793893833,1,89,0.203105590062,0.915485062626,0.0853309969667,1,0.347807456078,8,1,0,9.15988824787e-05,0,0,0
1,0.220604628452,4,81,0.0931677018634,0.901011753246,0.0330371947697,0,0.590872732467,12,1,3,0.00159062347987,0,0,0
2,0.120870414387,6,7,0.0,0.913196901333,0.0853309969667,0,0.144965004999,11,1,0,0.00032373946805,1,0,0
1,0.337575774326,4,95,0.227743271222,0.933891436396,0.00671521234275,1,0.433238108842,16,1,0,0.000507220178174,0,0,0
1,0.0642308330109,4,8,0.368944099379,0.905413477178,0.00121676992051,1,0.271246964719,16,1,3,0.000632028035749,0,0,0
6,0.54073618558,3,37,0.284265010352,0.859512410288,0.0440059566825,1,0.521339808599,13,1,1,0.00268077503996,0,0,0
4,0.343732150425,4,23,0.521118012422,0.794984423962,0.0853309969667,1,0.567361805456,17,1,0,0.00293081609046,0,0,0
1,0.0913207303816,2,14,0.124016563147,0.897887356301,0.0853309969667,0,0.530452792458,12,1,0,0.00117593112089,0,0,0
1,0.024830486614,2,13,0.0393374741201,0.885959511491,0.0853309969667,0,0.600928438794,14,1,0,0.00128402610597,0,0,0
5,1.0,2,186,0.681366459627,0.706995892337,0.0853309969667,0,0.975832023997,12,1,0,0.0101132876917,0,0,0
1,0.651550955355,3,48,0.146583850932,0.87035590557,0.00930763797777,0,0.913226681903,10,1,0,0.00204550344432,0,0,0
5,0.315412359737,2,130,0.527950310559,0.847152663548,0.0853309969667,1,0.690015712041,14,1,0,0.00192258239164,0,0,0
4,0.658937224771,6,68,0.296273291925,0.94319111201,0.0206123841464,0,0.368290244251,13,1,2,0.000941410168703,0,0,0
2,0.0291397195659,6,25,0.110559006211,0.928074544435,0.00178171342908,0,0.0949578631624,11,1,0,3.03465977314e-05,0,0,0
1,0.245230132847,8,2,0.0,0.913472583417,0.0853309969667,0,0.165147836023,8,3,2,0.000202168369311,0,0,0
1,0.23291738065,2,254,0.0393374741201,0.856323687524,0.00331037894043,0,0.521225539209,11,1,0,0.000226246668279,0,0,0
3,0.0359133454941,5,23,1.0,0.931419487048,0.00712600593563,1,0.0957434652193,17,1,3,0.000451363822909,0,0,0
5,0.0400175962265,6,21,0.527950310559,0.73588737468,0.0853309969667,1,0.685859162977,22,1,0,0.00730710694971,0,0,0
1,0.102401286091,9,22,0.121739130435,0.9230019941,0.00171222464668,0,0.252121125553,13,1,0,0.000220570276552,0,0,0
1,0.173815709469,7,4,0.101449275362,0.856323687524,0.00439901704215,1,0.118225967719,7,1,0,0.00032061379299,0,0,0
4,0.368357654819,2,89,0.219461697723,0.895259187105,0.002426523725,0,0.0,0,1,3,0.00134567565826,0,0,1
1,0.0112878410996,2,2,0.101449275362,0.914354766084,0.0853309969667,1,0.42639622911,9,1,0,0.000189317412255,0,0,0
6,0.0605388498885,4,4,0.246169772257,0.933027632534,0.0321701782327,0,0.573960862734,5,1,0,0.00160501568382,0,0,0
1,0.399139535312,3,59,0.122774327122,0.845709927312,0.0853309969667,0,0.226710469933,10,1,1,0.000230681167144,0,0,0
2,0.245230132847,0,59,0.311387163561,0.857941022413,0.00925048586603,0,0.40824167976,15,1,0,0.00126798955987,0,0,0
1,0.204187625523,6,218,0.35652173913,0.862535723803,0.00516029486397,1,0.338394515069,13,1,0,0.00029213694355,0,0,0
2,0.626925450961,6,135,0.0890269151139,0.97029066081,0.0171391436129,0,0.290058563062,10,1,3,0.000150566123225,0,0,0
