iter	MultiClass
0	-0.9038977753
1	-0.8381609862
2	-0.8237741979
3	-0.8009220654
4	-0.7790552776
5	-0.7710588898
6	-0.7631695609
7	-0.7329725266
8	-0.6994456384
9	-0.6686954005
10	-0.6376555909
11	-0.6006051553
12	-0.5711388643
13	-0.5225965144
14	-0.5004827632
15	-0.4709961223
16	-0.4430499864
17	-0.430245723
18	-0.3990569213
19	-0.3648518414
20	-0.3513091996
21	-0.3401831889
22	-0.3240176143
23	-0.3089015443
24	-0.2860262666
25	-0.2709465136
26	-0.2590253964
27	-0.2427052142
28	-0.2361273638
29	-0.2267953188
30	-0.2172032945
31	-0.2134533338
32	-0.2095216698
33	-0.1986147788
34	-0.1893034135
35	-0.1814347205
36	-0.1743442411
37	-0.1705038546
38	-0.1631914238
39	-0.1542362826
40	-0.1514361108
41	-0.1488284422
42	-0.1434391278
43	-0.1374634894
44	-0.133406062
45	-0.1303121298
46	-0.1235744169
47	-0.1215029449
48	-0.1185511379
49	-0.1149175717
50	-0.1131360856
51	-0.1093184411
52	-0.1045989213
53	-0.1031087336
54	-0.1003661125
55	-0.09813575666
56	-0.0956327823
57	-0.09050964372
58	-0.08865666335
59	-0.08703501431
60	-0.08461041143
61	-0.08278187292
62	-0.08143876724
63	-0.07992405258
64	-0.07887595097
65	-0.0766508962
66	-0.07430092121
67	-0.0736901578
68	-0.07291591513
69	-0.07134361979
70	-0.06993428972
71	-0.06786986831
72	-0.06625259039
73	-0.06480286754
74	-0.06324220617
75	-0.06239530567
76	-0.06122385064
77	-0.06011037218
78	-0.05914225901
79	-0.05846049744
80	-0.05759885368
81	-0.05711228859
82	-0.05662399328
83	-0.05543393335
84	-0.0538836237
85	-0.0525780031
86	-0.05203447511
87	-0.05113086629
88	-0.05038264831
89	-0.049612346
90	-0.04911257215
91	-0.04852344666
92	-0.04823524479
93	-0.04771477031
94	-0.04714962239
95	-0.04578404341
96	-0.0454412337
97	-0.04471504672
98	-0.04368981488
99	-0.04328076122
100	-0.04296689304
101	-0.0423399714
102	-0.04198726054
103	-0.04120129837
104	-0.04094135549
105	-0.04066752292
106	-0.04006687362
107	-0.03970575536
108	-0.03944775559
109	-0.03896991117
110	-0.03824036077
111	-0.03800777862
112	-0.03753910312
113	-0.03678128687
114	-0.03609278933
115	-0.03574400196
116	-0.03492953076
117	-0.03455695802
118	-0.03427085145
119	-0.03376838439
120	-0.03347682012
121	-0.03279805768
122	-0.032260263
123	-0.03201954402
124	-0.03181059097
125	-0.03150203711
126	-0.0311699497
127	-0.0309816277
128	-0.03053891535
129	-0.03031986112
130	-0.03002351744
131	-0.02966456606
132	-0.02934019433
133	-0.02900497218
134	-0.02866676839
135	-0.02840339868
136	-0.02821088877
137	-0.02799951262
138	-0.02775906071
139	-0.02762792466
140	-0.0273201971
141	-0.02701088485
142	-0.02667388187
143	-0.02642018309
144	-0.0262201435
145	-0.02598010403
146	-0.02575301397
147	-0.0254433462
148	-0.02516203115
149	-0.02490161533
150	-0.02451231203
151	-0.02435043262
152	-0.02410606041
153	-0.02397850926
154	-0.0238825492
155	-0.02374598047
156	-0.02362415813
157	-0.02331750955
158	-0.02301583705
159	-0.02282718116
160	-0.02247023185
161	-0.02233853724
162	-0.0220275835
163	-0.02192791714
164	-0.02182691469
165	-0.02160296027
166	-0.02133463102
167	-0.02120418021
168	-0.02097876214
169	-0.02076757803
170	-0.02048801972
171	-0.02037759065
172	-0.02018196364
173	-0.0200855596
174	-0.01989296986
175	-0.0197112655
176	-0.01944310362
177	-0.01929219327
178	-0.01914748715
179	-0.01901689808
180	-0.0188985267
181	-0.01873253481
182	-0.0185686065
183	-0.01851862642
184	-0.01838885069
185	-0.01826591388
186	-0.01806151594
187	-0.01798155896
188	-0.01790514543
189	-0.017769506
190	-0.01760498465
191	-0.01744598111
192	-0.01731470149
193	-0.01718893276
194	-0.01706616758
195	-0.01692822822
196	-0.01683512132
197	-0.01669080749
198	-0.01660841837
199	-0.01652361582
200	-0.01643904526
201	-0.01633190854
202	-0.01623560209
203	-0.01616762684
204	-0.01601822685
205	-0.01593033058
206	-0.01581553399
207	-0.01573733015
208	-0.01564435633
209	-0.01556846231
210	-0.01551145036
211	-0.01544693879
212	-0.01536281844
213	-0.01530801981
214	-0.01520718272
215	-0.01513405089
216	-0.01497821599
217	-0.01491279879
218	-0.01485024492
219	-0.01476662649
220	-0.01471572159
221	-0.01458743306
222	-0.01448581323
223	-0.01437534817
224	-0.01426507392
225	-0.01416331511
226	-0.01407814942
227	-0.01400556326
228	-0.01394985627
229	-0.01387224439
230	-0.01373156719
231	-0.01361603118
232	-0.0135322829
233	-0.01348907507
234	-0.0134062679
235	-0.01331160328
236	-0.01325383298
237	-0.01320455111
238	-0.01312165279
239	-0.01309265397
240	-0.01299412709
241	-0.0129547021
242	-0.01290521617
243	-0.01286890429
244	-0.0128238769
245	-0.0127534108
246	-0.0126361334
247	-0.01254791339
248	-0.01252193402
249	-0.01245273295
250	-0.01241930394
251	-0.01234854049
252	-0.01227003811
253	-0.01222298277
254	-0.01218796015
255	-0.01211848904
256	-0.01207978686
257	-0.01200063574
258	-0.01194065015
259	-0.01186541533
260	-0.01182886342
261	-0.01175737143
262	-0.01171836526
263	-0.01165402132
264	-0.01157181813
265	-0.01153646839
266	-0.01146108027
267	-0.01142154891
268	-0.01138662614
269	-0.01133434006
270	-0.01126115147
271	-0.01118964217
272	-0.01115753086
273	-0.01110595352
274	-0.0110662388
275	-0.01103525588
276	-0.01101203938
277	-0.01096853652
278	-0.01095451818
279	-0.01089312908
280	-0.01083336549
281	-0.01075731182
282	-0.0107138884
283	-0.01067721687
284	-0.01061521894
285	-0.01056319417
286	-0.01049730451
287	-0.01047331464
288	-0.01045023735
289	-0.0104080656
290	-0.01038175238
291	-0.0103487532
292	-0.01028670247
293	-0.01022304217
294	-0.01018030084
295	-0.01016395879
296	-0.01013687977
297	-0.01009593196
298	-0.01006026242
299	-0.01001525765
300	-0.009986356331
301	-0.009947697771
302	-0.009902304872
303	-0.009857110205
304	-0.009828757909
305	-0.009794735818
306	-0.009747675272
307	-0.009716168268
308	-0.009659748522
309	-0.00960251957
310	-0.009570091301
311	-0.009514403793
312	-0.009489492484
313	-0.009442062851
314	-0.009412462098
315	-0.009373534816
316	-0.009351678701
317	-0.009295601976
318	-0.009269995354
319	-0.009244593094
320	-0.009202780817
321	-0.009185434823
322	-0.009137875084
323	-0.009114402929
324	-0.009080885253
325	-0.009040355369
326	-0.009002468964
327	-0.008977241994
328	-0.008927843672
